10000 30000
1293 6586 715
2458 2722 29
9744 3233 381
5749 5949 346
1520 9301 737
9534 6512 327
3864 9922 279
248 9564 676
7819 7831 906
4419 4418 578
3487 2063 872
4868 4521 810
249 617 885
5947 6366 118
1037 4238 67
6364 124 721
6644 3988 233
672 4237 507
8578 8408 72
1157 9179 255
2381 2666 25
6543 7534 88
3428 4135 961
3547 83 930
5966 7472 648
4039 3836 886
8624 6832 10
3132 7504 998
7204 2435 587
1811 9944 995
836 2325 175
8276 8868 193
6589 8649 728
1871 2196 215
3519 4514 650
9405 8554 122
5415 7178 311
1765 310 143
2353 3866 0
1348 2029 787
5875 2865 731
3069 7493 408
4149 434 628
9364 2305 277
1015 5824 825
6489 1581 340
5800 6996 894
8296 5114 424
4648 7467 87
3435 5167 953
2166 1043 983
9574 464 200
2202 4613 46
9832 329 832
9657 7696 138
3997 538 314
3243 6338 896
9668 986 244
2755 1986 358
6060 5421 825
1395 3939 345
9596 9865 388
7994 8420 204
6826 8252 169
7964 7909 498
7631 8259 547
2527 1502 85
771 1170 775
4130 277 114
1307 6338 100
3652 7733 874
3392 3681 813
3596 1675 679
1117 4854 451
2616 9170 703
4515 6801 964
6952 9328 223
5727 6452 726
1841 6934 248
6294 8241 526
6168 8246 216
6333 7990 949
6364 7939 983
9056 1864 815
8024 1035 518
2539 7836 483
9491 3517 58
1571 9969 784
9764 6903 33
6058 1496 911
8578 6094 127
4085 1059 912
2024 8070 628
7432 9934 444
5457 969 314
4348 5158 149
3840 8675 208
1763 8644 344
1527 1899 377
3938 3395 640
2516 5842 767
3780 9927 844
7761 8303 255
6557 2087 677
6871 7544 964
2373 1893 285
5933 2085 443
4629 3848 118
4007 5375 114
1647 5665 13
8767 8182 761
7963 8314 603
4570 6075 882
9248 2632 537
6564 5856 624
4849 4581 521
4645 6866 414
6763 1495 499
230 1854 699
5595 9854 426
4356 8621 92
5311 6584 626
2545 1154 940
4434 6754 368
2059 3318 352
9932 8168 208
3346 2813 141
5197 5928 7
7248 6158 503
4674 1754 357
7766 2462 211
5392 4126 184
7685 6671 768
6053 1106 923
3405 9517 677
2966 5801 348
7107 9147 516
4467 696 681
6970 7944 961
7679 8970 120
8243 6737 226
7427 8481 40
9548 6166 166
2823 2219 190
2852 1977 648
6200 4943 517
7716 8402 318
4749 2869 817
7711 6191 865
3183 223 809
6761 8466 131
2801 2245 868
9320 1793 702
8862 4616 868
9510 7469 440
2379 3669 417
4697 7738 712
8866 2487 466
3731 6550 336
2892 6085 879
1023 2846 102
2244 2000 568
1946 7672 166
7814 6534 959
8606 2396 576
5023 1127 45
9087 5824 66
1554 1042 804
3242 4773 644
1121 7665 546
5576 5040 632
2144 7284 478
7310 9230 830
622 3397 502
2198 8355 388
7595 9731 784
3013 8818 911
6170 6724 87
8166 9966 129
6712 7440 254
1344 3016 271
5175 1512 312
1005 8823 948
860 5797 531
7248 7995 928
1942 4014 33
4955 9185 296
7477 5909 384
5643 2228 865
2356 9668 472
52 2684 743
5227 4196 407
2585 9371 356
3445 5168 887
693 9515 167
3078 7809 802
5375 9117 817
6594 263 111
2238 8843 328
4594 8511 800
998 1195 544
6226 5392 951
5163 1115 659
8608 6284 546
5653 5799 713
8732 9961 516
4107 9078 685
6570 5672 391
2898 7910 6
3699 8856 850
3595 9855 361
5898 2433 557
7558 7596 301
7456 2556 416
1522 8209 52
4038 6941 204
8075 7400 165
6466 3970 243
1472 3221 915
5322 6920 178
7684 6867 34
7593 9117 241
9246 3027 26
5662 484 622
1067 2006 530
2271 2396 740
9788 471 33
31 3289 434
2298 4761 756
8828 6436 977
4215 4120 249
9456 8065 116
3483 7311 586
1457 9325 613
1988 392 449
7080 9015 807
9113 8803 203
8547 5186 26
8304 3837 315
1281 2665 429
3883 6880 865
3351 2689 337
1937 6172 754
9903 3981 65
8352 2321 742
5160 9401 487
715 8515 502
3094 3414 658
8761 1718 196
9190 9352 385
2407 3235 51
1498 4876 931
6915 4779 144
1658 9483 478
9497 995 799
6351 1711 201
2009 1157 716
5558 9918 130
2943 9109 201
9346 7868 905
2630 3965 492
2250 5463 430
747 8731 306
3225 6741 85
4376 6238 569
8577 2589 564
7645 951 627
128 2861 784
681 2156 703
586 1503 164
78 4133 32
8860 2735 997
6167 9834 813
4604 3059 896
2525 3788 989
5090 2365 227
2069 6363 168
206 2843 119
8261 3524 332
5425 462 489
6809 540 992
2159 9400 125
9324 1919 212
1572 6524 47
561 9049 458
2140 491 246
6308 2561 964
7780 9119 327
2112 7380 170
8601 9157 46
2945 5966 508
1422 4477 400
2635 153 152
34 1725 72
492 8638 948
1091 778 997
4055 7087 841
9734 1219 402
8256 3331 873
302 8285 253
2810 1230 410
2210 9005 728
7362 1640 206
786 1674 711
734 8518 789
6084 9609 427
1925 3664 558
6679 3398 997
552 1654 216
1805 8308 899
2215 1118 184
1295 9680 767
4853 3395 772
8565 533 764
6706 1268 438
7133 7352 308
2040 5956 918
608 2860 333
2508 4665 339
9044 3232 0
6811 4527 470
3583 9381 151
8347 4298 898
1137 1004 431
2446 4489 51
9716 5533 403
650 3925 32
1335 4534 340
27 7042 200
7027 2438 217
1497 9250 449
6682 5022 977
5085 3820 12
4489 3536 501
539 312 873
1874 4846 566
1901 8240 766
8928 678 984
6778 6280 785
8778 5466 762
1029 9351 824
4063 725 184
9148 4546 196
9989 4434 50
5863 4973 436
5429 6848 748
1547 5101 946
2531 4030 538
4317 808 217
1431 5938 497
9608 6967 315
6792 7382 666
341 6531 744
8391 6520 290
280 516 76
3117 947 250
686 1616 733
4535 9400 893
3851 9008 832
8869 5800 151
1255 884 534
2332 64 937
4734 344 25
336 2922 541
1039 6039 605
2125 6725 905
4018 1261 521
8202 1464 921
5706 333 281
4240 4947 434
5657 6202 927
9946 4886 812
2971 5972 228
6513 2660 924
8470 52 846
1375 2177 238
5897 2547 315
6170 7102 928
2808 2078 452
7048 7025 886
9057 9579 813
9003 818 977
8327 6790 205
4840 9451 129
9662 9503 328
1038 8032 918
3287 6931 233
9457 4033 514
8147 241 906
5313 9298 361
7290 4654 293
6848 2981 111
4173 1056 329
3835 6911 657
1225 4943 575
4512 1875 161
1583 5454 675
6083 5695 270
1396 1346 983
5038 2352 628
8238 1685 91
2568 5858 345
5225 6045 401
2153 7271 313
9666 1783 608
5341 2105 835
3626 3689 96
248 6124 550
7520 1943 584
8910 647 212
7149 2332 656
9717 4542 1
1294 588 402
9799 4211 67
9465 2346 676
1158 804 863
4785 845 959
1385 6969 861
6321 841 459
886 9751 754
3542 3252 402
9543 9321 86
6297 616 629
717 415 569
1393 6233 132
5608 7391 478
6568 8528 634
8781 9914 479
1592 6235 800
6347 7121 641
8101 663 745
2187 6558 997
816 2856 319
2737 3573 287
8869 1318 54
6926 6679 348
9846 5207 334
4980 1473 814
6572 7709 966
2919 1182 608
1020 8198 705
9560 4756 702
6728 3964 373
9466 3889 12
8335 1559 67
2035 4838 706
1370 4684 385
5502 6237 945
4462 5508 479
167 2881 662
2222 8793 860
7608 4987 968
1027 9675 822
3733 8062 382
9471 9432 220
416 9320 256
9186 4823 273
5666 5637 862
5540 8027 722
2508 7974 396
1934 1257 793
2961 7284 616
3047 5347 350
2518 4779 922
9286 452 530
8472 1627 803
4138 7264 17
170 9421 740
5710 7448 695
4571 1775 444
716 3709 714
1684 3023 971
9034 2422 608
308 1292 955
3839 578 86
1994 5402 538
1012 5893 165
9104 6063 782
2799 8126 203
7243 9049 4
7957 9765 131
6281 1450 840
1889 6836 215
9196 3497 989
1282 7336 281
173 5682 859
690 3046 262
8472 2150 155
4950 4696 28
8545 3745 32
